K-NET,AKT004,八森,HACHIMORI,40.3886,139.9822,27,-,秋田県,K-NET11C,
K-NET,AKT005,能代,NOSHIRO,40.2020,140.0286,17,-,秋田県,K-NET11C,
K-NET,AKT006,鹿角,KAZUNO,40.2153,140.7873,123,-,秋田県,K-NET11B,
K-NET,AKT007,琴丘,KOTOOKA,40.0376,140.0919,17,-,秋田県,K-NET11C,
K-NET,AKT008,飯田川,IITAGAWA,39.8840,140.0706,4,-,秋田県,K-NET11C,
K-NET,AKT009,男鹿,OGA,39.8869,139.8467,16,-,秋田県,K-NET11C,
K-NET,AKT010,秋田,AKITA,39.7223,140.0998,6,-,秋田県,K-NET11C,
K-NET,AKT011,宮田,MIYATA,39.8133,140.5805,315,-,秋田県,K-NET11B,
K-NET,AKT012,田沢湖,TAZAWAKO,39.7014,140.7178,206,-,秋田県,K-NET11B,
K-NET,AKT013,協和,KYOWA,39.6071,140.3209,39,-,秋田県,K-NET11C,
K-NET,AKT014,角館,KAKUNODATE,39.5950,140.5573,56,-,秋田県,K-NET11B,
K-NET,AKT015,本荘,HONJO,39.3844,140.0519,5,-,秋田県,K-NET11C,
K-NET,AKT016,大曲,OHMAGARI,39.4545,140.4758,25,-,秋田県,K-NET11C,
K-NET,AKT017,横手,YOKOTE,39.2978,140.5621,81,-,秋田県,K-NET11C,
K-NET,AKT018,鳥海,CHOKAI,39.1937,140.1899,114,-,秋田県,K-NET11B,
K-NET,AKT019,雄勝,OGACHI,39.0390,140.4490,173,-,秋田県,K-NET11B,
K-NET,AKT020,象潟,KISAKATA,39.2027,139.9088,7,-,秋田県,K-NET11B,
K-NET,AKT021,阿仁,ANI,39.9940,140.4035,119,-,秋田県,K-NET11B,
K-NET,AKT022,玉川,TAMAGAWA,39.7739,140.6669,270,-,秋田県,K-NET11B,
K-NET,AKT023,椿台,TSUBAKIDAI,39.1464,140.7161,277,-,秋田県,K-NET11B,
KiK-net,AKTH01,西木北,NISHIKI-N,39.8147,140.5790,318,100,秋田県,KiK-net18,
KiK-net,AKTH02,西木南,NISHIKI-S,39.6634,140.5721,95,100,秋田県,KiK-net18,
KiK-net,AKTH03,矢島,YASHIMA,39.2223,140.1283,145,103,秋田県,KiK-net11A,
KiK-net,AKTH04,東成瀬,HIGASHINARUSE,39.1740,140.7129,280,100,秋田県,KiK-net18,
KiK-net,AKTH05,鳥海,CHOKAI,39.0718,140.3185,275,200,秋田県,KiK-net18,
KiK-net,AKTH06,雄勝,OGACHI,38.9801,140.4952,285,100,秋田県,KiK-net11C,
KiK-net,AKTH07,小坂,KOSAKA,40.4563,140.8395,405,105,秋田県,KiK-net18,
KiK-net,AKTH08,藤里,FUJISATO,40.3188,140.2341,125,200,秋田県,KiK-net18,
KiK-net,AKTH09,田代,TASHIRO,40.2755,140.4596,45,101,秋田県,KiK-net18,
KiK-net,AKTH10,大館,ODATE,40.3002,140.5812,85,100,秋田県,KiK-net18,
KiK-net,AKTH11,男鹿,OGA,39.9554,139.7623,56,350,秋田県,KiK-net11C,
KiK-net,AKTH12,五城目,GOJOME,39.9155,140.2221,90,100,秋田県,KiK-net11A,
KiK-net,AKTH13,阿仁,ANI,39.9819,140.4072,145,100,秋田県,KiK-net18,
KiK-net,AKTH14,鹿角,KAZUNO,40.0622,140.8084,320,108,秋田県,KiK-net11A,
KiK-net,AKTH15,協和,KYOWA,39.6884,140.4075,165,100,秋田県,KiK-net11A,
KiK-net,AKTH16,西仙北,NISHISEMBOKU,39.5450,140.3481,20,154,秋田県,KiK-net18,
KiK-net,AKTH17,中仙,NAKASEN,39.5575,140.6116,95,177,秋田県,KiK-net11A,
KiK-net,AKTH18,大森,OMORI,39.3548,140.3869,65,100,秋田県,KiK-net18,
KiK-net,AKTH19,湯沢,YUZAWA,39.1913,140.4710,74,180,秋田県,KiK-net18,
K-NET,AOM001,大間,OHMA,41.5269,140.9246,38,-,青森県,K-NET18,
K-NET,AOM002,福浦,FUKUURA,41.3280,140.8132,13,-,青森県,K-NET11B,
K-NET,AOM003,大畑,OHHATA,41.4054,141.1699,2,-,青森県,K-NET11B,
