S,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470,1480,1490,1500,1510,1520,1530,1540,1550,1560,1570,1580,1590,1600,1610,1620,1630,1640,1650,1660,1670,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,0.0,0.703,1.403,2.099,2.786,3.465,4.135,4.794,5.444,6.084,6.715,7.338,7.954,8.564,9.167,9.766,10.36,10.951,11.54,12.127,12.713,13.298,13.882,14.465,15.047,15.63,17.085,18.538,19.99,21.438,22.884,24.325,25.763,27.196,28.625,30.048,31.467,32.879,34.283,35.682,37.073,38.457,39.834,41.196,42.546,43.879,45.193,46.503,47.786,49.045,50.286,51.516,52.736,53.944,55.145,56.345,58.712,61.056,63.381,65.691,67.989,70.277,72.561,74.839,77.114,79.387,81.657,83.924,86.19,88.455,90.717,92.979,95.24,97.498,99.756,102.013,104.27,106.527,108.781,111.033,113.285,115.537,117.789,120.04,122.29,124.539,126.788,129.036,131.285,133.533,135.782,138.03,140.278,142.525,144.772,147.019,149.266,151.511,153.757,156.002,158.247,160.491,162.735,164.979,167.222,169.465,171.708,173.951,176.193,178.435,180.677,182.919,185.162,187.404,189.644,191.885,194.125,196.365,198.605,200.845,203.085,205.325,207.565,209.805,212.045,214.285,216.525,218.765,221.005,223.245,225.485,227.724,229.964,232.203,234.443,236.682,238.922,241.161,243.4,245.639,247.879,250.118,252.356,254.595,256.834,259.073,261.311,263.55,265.788,268.026,270.263,272.499,274.735,276.972,279.194,281.411,283.625,285.838,288.051,290.264,292.476,294.688,296.896,299.096,301.29,303.473,305.656,307.839,310.021,312.2,314.377,316.552,318.725,320.897,323.067,325.238,327.405,329.57,331.733,333.896,336.059,338.221,340.38,342.537,344.694,346.851,349.007,351.16,353.312,355.463,357.614,359.764,361.913,364.061,366.208,368.356,370.502,372.649,374.788,376.911,379.032,381.147,383.26,385.367,387.474,389.579,391.683,393.787,395.891,397.993,400.094,402.193,404.292,406.39,408.482,410.57,412.655,414.735,416.815,418.893,420.971,423.049,425.125,427.199,429.269,431.337,433.402,435.466,437.53,439.594,441.658,443.721,445.783,447.845,449.88,451.912
2,0.666,0.941,1.486,2.096,2.726,3.359,3.991,4.619,5.242,5.86,6.472,7.08,7.682,8.281,8.874,9.466,10.055,10.642,11.228,11.813,12.397,12.98,13.562,14.145,14.727,15.309,16.763,18.215,19.664,21.111,22.554,23.992,25.427,26.857,28.282,29.702,31.117,32.524,33.925,35.318,36.706,38.085,39.454,40.811,42.151,43.472,44.785,46.083,47.354,48.604,49.839,51.065,52.28,53.484,54.685,55.88,58.242,60.582,62.903,65.211,67.507,69.794,72.077,74.354,76.628,78.9,81.17,83.437,85.703,87.967,90.229,92.491,94.751,97.009,99.267,101.524,103.781,106.038,108.291,110.543,112.796,115.047,117.299,119.55,121.8,124.048,126.297,128.546,130.794,133.043,135.291,137.54,139.787,142.034,144.281,146.528,148.775,151.02,153.266,155.511,157.756,160.0,162.244,164.487,166.731,168.974,171.217,173.459,175.702,177.944,180.186,182.428,184.67,186.912,189.152,191.393,193.633,195.873,198.113,200.353,202.593,204.833,207.073,209.313,211.553,213.793,216.033,218.273,220.513,222.753,224.993,227.232,229.472,231.711,233.951,236.19,238.43,240.669,242.908,245.147,247.386,249.625,251.864,254.103,256.342,258.58,260.819,263.057,265.296,267.533,269.77,272.006,274.243,276.479,278.698,280.914,283.128,285.341,287.554,289.767,291.979,294.191,296.397,298.596,300.788,302.971,305.154,307.337,309.519,311.697,313.874,316.048,318.221,320.392,322.563,324.733,326.9,329.065,331.228,333.39,335.553,337.714,339.873,342.031,344.188,346.344,348.5,350.653,352.805,354.956,357.106,359.256,361.404,363.553,365.7,367.847,369.994,372.14,374.276,376.399,378.519,380.633,382.745,384.852,386.959,389.063,391.167,393.271,395.375,397.477,399.577,401.676,403.776,405.873,407.964,410.051,412.135,414.216,416.295,418.373,420.451,422.529,424.605,426.678,428.748,430.815,432.881,434.944,437.008,439.072,441.135,443.199,445.261,447.32,449.353,451.385
4,1.277,1.427,1.803,2.295,2.841,3.413,3.998,4.588,5.18,5.772,6.364,6.954,7.543,8.13,8.716,9.301,9.886,10.469,11.052,11.634,12.217,12.799,13.381,13.963,14.544,15.125,16.576,18.025,19.47,20.913,22.351,23.785,25.214,26.639,28.059,29.473,30.88,32.282,33.676,35.064,36.444,37.816,39.175,40.52,41.847,43.16,44.467,45.748,47.005,48.246,49.477,50.697,51.905,53.107,54.307,55.495,57.851,60.186,62.504,64.809,67.102,69.388,71.67,73.946,76.22,78.492,80.761,83.027,85.293,87.557,89.819,92.08,94.34,96.598,98.855,101.113,103.37,105.626,107.878,110.131,112.383,114.634,116.886,119.137,121.386,123.635,125.883,128.132,130.38,132.629,134.877,137.126,139.373,141.62,143.867,146.114,148.361,150.606,152.852,155.097,157.341,159.585,161.829,164.073,166.316,168.559,170.802,173.044,175.287,177.529,179.771,182.013,184.255,186.497,188.737,190.977,193.217,195.457,197.698,199.938,202.178,204.418,206.658,208.898,211.138,213.378,215.618,217.858,220.098,222.337,224.577,226.817,229.056,231.296,233.535,235.775,238.014,240.253,242.492,244.732,246.971,249.21,251.449,253.687,255.926,258.165,260.403,262.642,264.88,267.117,269.354,271.59,273.827,276.061,278.278,280.494,282.707,284.92,287.133,289.345,291.558,293.769,295.973,298.172,300.36,302.543,304.727,306.91,309.091,311.268,313.445,315.618,317.792,319.962,322.133,324.303,326.469,328.633,330.796,332.959,335.122,337.282,339.441,341.598,343.755,345.911,348.066,350.219,352.371,354.522,356.672,358.822,360.97,363.118,365.265,367.412,369.559,371.705,373.838,375.959,378.078,380.192,382.302,384.41,386.516,388.62,390.724,392.828,394.932,397.034,399.133,401.233,403.332,405.428,407.518,409.605,411.688,413.769,415.847,417.925,420.003,422.081,424.156,426.229,428.298,430.365,432.43,434.494,436.558,438.622,440.685,442.748,444.81,446.864,448.897,450.929
6,1.861,1.961,2.235,2.627,3.092,3.601,4.136,4.687,5.248,5.815,6.387,6.961,7.538,8.115,8.693,9.272,9.851,10.43,11.009,11.588,12.166,12.745,13.324,13.902,14.48,15.057,16.5,17.939,19.376,20.809,22.239,23.664,25.085,26.502,27.913,29.317,30.716,32.108,33.495,34.874,36.245,37.603,38.948,40.278,41.592,42.903,44.19,45.453,46.699,47.933,49.157,50.371,51.574,52.775,53.969,55.152,57.502,59.833,62.146,64.448,66.74,69.024,71.305,73.58,75.853,78.124,80.393,82.659,84.924,87.188,89.449,91.71,93.969,96.228,98.485,100.742,102.999,105.254,107.507,109.759,112.011,114.263,116.514,118.765,121.014,123.262,125.511,127.759,130.008,132.256,134.505,136.753,139.0,141.247,143.494,145.741,147.987,150.233,152.478,154.724,156.968,159.211,161.455,163.699,165.942,168.185,170.428,172.67,174.912,177.155,179.397,181.639,183.881,186.122,188.362,190.603,192.843,195.083,197.323,199.563,201.803,204.043,206.283,208.523,210.763,213.003,215.243,217.483,219.723,221.963,224.202,226.442,228.682,230.921,233.161,235.4,237.639,239.879,242.118,244.357,246.596,248.835,251.074,253.312,255.551,257.79,260.028,262.267,264.505,266.742,268.978,271.215,273.451,275.681,277.898,280.113,282.326,284.539,286.752,288.964,291.176,293.386,295.589,297.787,299.973,302.156,304.339,306.521,308.702,310.879,313.055,315.228,317.401,319.572,321.742,323.912,326.077,328.241,330.404,332.566,334.729,336.889,339.047,341.205,343.361,345.517,347.672,349.824,351.976,354.126,356.277,358.426,360.574,362.722,364.87,367.017,369.163,371.307,373.436,375.557,377.675,379.789,381.898,384.005,386.111,388.215,390.319,392.423,394.527,396.628,398.727,400.827,402.926,405.02,407.109,409.196,411.278,413.359,415.437,417.515,419.593,421.671,423.745,425.818,427.886,429.952,432.017,434.081,436.145,438.208,440.271,442.334,444.397,446.445,448.477,450.51
8,2.437,2.512,2.724,3.043,3.44,3.89,4.377,4.888,5.416,5.956,6.505,7.06,7.619,8.182,8.748,9.315,9.884,10.454,11.025,11.596,12.168,12.74,13.312,13.884,14.456,15.029,16.458,17.886,19.311,20.733,22.152,23.567,24.978,26.383,27.784,29.179,30.569,31.952,33.33,34.697,36.054,37.398,38.729,40.044,41.356,42.647,43.916,45.167,46.404,47.631,48.849,50.055,51.256,52.456,53.642,54.822,57.166,59.491,61.802,64.1,66.389,68.673,70.952,73.227,75.5,77.77,80.038,82.304,84.569,86.831,89.093,91.354,93.612,95.87,98.127,100.385,102.642,104.896,107.148,109.4,111.652,113.904,116.155,118.405,120.654,122.903,125.151,127.4,129.648,131.897,134.145,136.393,138.64,140.887,143.134,145.381,147.627,149.872,152.118,154.363,156.607,158.851,161.094,163.338,165.581,167.824,170.067,172.309,174.551,176.793,179.035,181.277,183.52,185.76,188.001,190.241,192.481,194.721,196.961,199.201,201.442,203.682,205.922,208.162,210.402,212.642,214.881,217.121,219.361,221.601,223.84,226.08,228.32,230.559,232.799,235.038,237.277,239.517,241.756,243.995,246.234,248.473,250.712,252.95,255.189,257.428,259.666,261.904,264.143,266.379,268.616,270.852,273.088,275.313,277.53,279.744,281.958,284.171,286.383,288.596,290.808,293.016,295.217,297.414,299.597,301.78,303.963,306.146,308.325,310.502,312.677,314.851,317.023,319.193,321.364,323.532,325.698,327.861,330.024,332.186,334.349,336.508,338.666,340.823,342.979,345.135,347.289,349.442,351.593,353.743,355.894,358.043,360.191,362.339,364.486,366.633,368.779,370.921,373.047,375.168,377.284,379.398,381.506,383.613,385.718,387.822,389.926,392.03,394.133,396.234,398.333,400.432,402.531,404.624,406.713,408.798,410.88,412.961,415.039,417.116,419.194,421.271,423.345,425.417,427.485,429.551,431.615,433.679,435.743,437.807,439.87,441.932,443.995,446.037,448.069,450.101
10,3.007,3.066,3.238,3.504,3.846,4.244,4.684,5.155,5.649,6.159,6.682,7.214,7.754,8.3,8.85,9.404,9.96,10.519,11.079,11.641,12.203,12.767,13.331,13.896,14.461,15.027,16.44,17.854,19.266,20.675,22.081,23.485,24.884,26.279,27.669,29.054,30.434,31.807,33.17,34.525,35.867,37.197,38.512,39.825,41.118,42.392,43.647,44.887,46.117,47.338,48.548,49.75,50.951,52.142,53.324,54.502,56.84,59.16,61.468,63.763,66.05,68.333,70.61,72.885,75.157,77.426,79.693,81.959,84.224,86.486,88.747,91.008,93.266,95.524,97.781,100.038,102.295,104.548,106.8,109.052,111.304,113.556,115.807,118.056,120.305,122.554,124.802,127.051,129.299,131.548,133.796,136.044,138.291,140.538,142.785,145.032,147.277,149.523,151.768,154.013,156.257,158.501,160.744,162.988,165.231,167.474,169.717,171.959,174.201,176.443,178.685,180.927,183.169,185.409,187.65,189.89,192.13,194.37,196.61,198.85,201.091,203.331,205.571,207.811,210.051,212.29,214.53,216.77,219.01,221.25,223.489,225.729,227.969,230.208,232.447,234.687,236.926,239.165,241.404,243.644,245.882,248.121,250.36,252.599,254.838,257.076,259.315,261.553,263.791,266.027,268.264,270.5,272.736,274.957,277.173,279.387,281.6,283.813,286.025,288.238,290.45,292.656,294.856,297.049,299.232,301.415,303.598,305.78,307.959,310.135,312.31,314.483,316.655,318.825,320.996,323.163,325.328,327.491,329.654,331.816,333.978,336.137,338.295,340.452,342.608,344.764,346.917,349.069,351.22,353.371,355.521,357.669,359.818,361.965,364.112,366.259,368.405,370.544,372.667,374.788,376.903,379.016,381.123,383.23,385.335,387.439,389.543,391.647,393.749,395.85,397.949,400.048,402.146,404.238,406.326,408.411,410.492,412.572,414.65,416.728,418.805,420.882,422.955,425.026,427.093,429.159,431.223,433.287,435.351,437.414,439.478,441.54,443.602,445.638,447.671,449.702
12,3.57,3.619,3.762,3.989,4.286,4.64,5.038,5.471,5.93,6.41,6.906,7.415,7.933,8.459,8.992,9.53,10.072,10.618,11.166,11.716,12.269,12.823,13.378,13.934,14.491,15.048,16.444,17.841,19.238,20.633,22.026,23.417,24.805,26.188,27.567,28.942,30.309,31.667,33.018,34.356,35.683,36.998,38.311,39.605,40.881,42.139,43.383,44.615,45.839,47.053,48.257,49.458,50.654,51.838,53.017,54.191,56.524,58.84,61.144,63.437,65.722,68.004,70.28,72.553,74.825,77.094,79.36,81.626,83.89,86.151,88.413,90.672,92.931,95.188,97.445,99.702,101.959,104.211,106.463,108.715,110.967,113.218,115.469,117.719,119.967,122.216,124.464,126.713,128.961,131.21,133.458,135.706,137.953,140.2,142.447,144.693,146.939,149.184,151.429,153.674,155.918,158.161,160.405,162.649,164.892,167.135,169.377,171.619,173.861,176.103,178.345,180.587,182.829,185.069,187.31,189.55,191.79,194.03,196.27,198.51,200.75,202.99,205.23,207.47,209.71,211.95,214.19,216.43,218.67,220.909,223.149,225.389,227.628,229.868,232.107,234.346,236.586,238.825,241.064,243.303,245.542,247.781,250.02,252.258,254.497,256.736,258.974,261.212,263.45,265.686,267.923,270.159,272.393,274.61,276.826,279.039,281.253,283.465,285.678,287.89,290.102,292.306,294.505,296.694,298.877,301.06,303.243,305.425,307.602,309.779,311.953,314.126,316.297,318.467,320.638,322.804,324.968,327.131,329.294,331.457,333.618,335.776,337.934,340.09,342.247,344.402,346.555,348.707,350.858,353.008,355.158,357.306,359.454,361.602,363.749,365.895,368.042,370.176,372.298,374.418,376.532,378.643,380.75,382.857,384.961,387.065,389.169,391.273,393.375,395.475,397.574,399.674,401.771,403.861,405.949,408.032,410.113,412.192,414.27,416.348,418.426,420.502,422.575,424.645,426.712,428.777,430.841,432.905,434.969,437.032,439.095,441.158,443.217,445.249,447.282,449.313
14,4.127,4.169,4.291,4.488,4.749,5.065,5.426,5.824,6.25,6.7,7.169,7.652,8.148,8.654,9.169,9.69,10.216,10.747,11.282,11.821,12.361,12.905,13.45,13.996,14.544,15.093,16.469,17.848,19.228,20.609,21.988,23.366,24.741,26.111,27.476,28.835,30.188,31.532,32.867,34.19,35.504,36.815,38.109,39.386,40.646,41.892,43.127,44.353,45.57,46.776,47.977,49.177,50.364,51.545,52.721,53.891,56.218,58.53,60.83,63.121,65.405,67.685,69.96,72.233,74.504,76.772,79.038,81.303,83.567,85.828,88.089,90.348,92.606,94.864,97.121,99.378,101.633,103.885,106.137,108.389,110.641,112.892,115.143,117.392,119.641,121.889,124.138,126.386,128.635,130.883,133.132,135.379,137.626,139.873,142.119,144.366,146.611,148.856,151.102,153.346,155.589,157.833,160.077,162.32,164.563,166.806,169.048,171.29,173.533,175.775,178.017,180.259,182.5,184.74,186.98,189.221,191.461,193.701,195.941,198.181,200.421,202.661,204.901,207.141,209.381,211.621,213.861,216.101,218.34,220.58,222.82,225.059,227.299,229.538,231.778,234.017,236.256,238.496,240.735,242.974,245.213,247.451,249.69,251.929,254.167,256.406,258.644,260.883,263.119,265.356,267.592,269.829,272.058,274.275,276.49,278.703,280.916,283.129,285.341,287.554,289.763,291.966,294.164,296.35,298.533,300.716,302.899,305.08,307.257,309.433,311.606,313.779,315.949,318.12,320.29,322.455,324.619,326.782,328.945,331.107,333.268,335.425,337.583,339.739,341.896,344.05,346.203,348.355,350.505,352.656,354.805,356.953,359.101,361.249,363.396,365.542,367.687,369.817,371.939,374.057,376.171,378.28,380.388,382.494,384.598,386.702,388.806,390.91,393.011,395.111,397.21,399.309,401.404,403.494,405.581,407.664,409.744,411.823,413.901,415.979,418.057,420.131,422.204,424.273,426.339,428.405,430.468,432.532,434.596,436.659,438.722,440.785,442.837,444.87,446.903,448.932
16,4.677,4.713,4.82,4.993,5.226,5.51,5.838,6.203,6.599,7.02,7.462,7.922,8.395,8.88,9.375,9.879,10.389,10.905,11.426,11.951,12.479,13.011,13.545,14.081,14.619,15.159,16.513,17.873,19.236,20.599,21.963,23.324,24.683,26.039,27.39,28.733,30.071,31.4,32.718,34.031,35.339,36.631,37.908,39.169,40.417,41.653,42.881,44.1,45.308,46.51,47.711,48.902,50.084,51.262,52.434,53.601,55.923,58.232,60.528,62.816,65.099,67.377,69.652,71.924,74.194,76.462,78.728,80.992,83.255,85.516,87.777,90.036,92.293,94.551,96.808,99.065,101.318,103.571,105.823,108.075,110.326,112.578,114.827,117.076,119.325,121.574,123.822,126.071,128.319,130.568,132.816,135.063,137.31,139.557,141.803,144.049,146.295,148.54,150.785,153.029,155.273,157.516,159.76,162.003,164.246,166.489,168.731,170.973,173.215,175.457,177.699,179.941,182.182,184.422,186.662,188.903,191.143,193.383,195.623,197.863,200.103,202.343,204.583,206.823,209.063,211.303,213.543,215.783,218.022,220.262,222.502,224.741,226.981,229.22,231.46,233.699,235.938,238.177,240.416,242.655,244.894,247.133,249.372,251.611,253.849,256.088,258.326,260.564,262.801,265.037,267.273,269.51,271.734,273.95,276.164,278.378,280.591,282.803,285.016,287.228,289.436,291.637,293.833,296.016,298.2,300.383,302.565,304.745,306.921,309.097,311.27,313.442,315.613,317.783,319.952,322.117,324.28,326.443,328.606,330.768,332.928,335.085,337.243,339.399,341.555,343.709,345.862,348.013,350.163,352.314,354.463,356.611,358.759,360.906,363.053,365.199,367.341,369.468,371.589,373.706,375.82,377.928,380.035,382.14,384.244,386.349,388.453,390.556,392.657,394.756,396.855,398.954,401.048,403.137,405.223,407.305,409.385,411.463,413.541,415.619,417.697,419.771,421.843,423.911,425.977,428.042,430.106,432.17,434.233,436.296,438.359,440.422,442.467,444.5,446.533,448.562
