P,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420,1430,1440,1450,1460,1470,1480,1490,1500,1510,1520,1530,1540,1550,1560,1570,1580,1590,1600,1610,1620,1630,1640,1650,1660,1670,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000
0,0.0,0.416,0.831,1.243,1.65,2.052,2.448,2.838,3.221,3.6,3.972,4.34,4.703,5.062,5.418,5.771,6.121,6.469,6.816,7.162,7.507,7.852,8.196,8.539,8.883,9.226,10.083,10.939,11.792,12.644,13.492,14.338,15.18,16.018,16.853,17.683,18.509,19.331,20.147,20.959,21.766,22.566,23.357,24.137,24.904,25.667,26.416,27.148,27.868,28.579,29.283,29.979,30.671,31.36,32.04,32.717,34.057,35.385,36.703,38.012,39.316,40.617,41.914,43.209,44.502,45.792,47.081,48.368,49.654,50.938,52.221,53.502,54.781,56.059,57.336,58.612,59.887,61.161,62.434,63.707,64.978,66.248,67.517,68.785,70.052,71.319,72.585,73.851,75.115,76.379,77.642,78.904,80.166,81.427,82.689,83.95,85.21,86.47,87.73,88.989,90.248,91.506,92.763,94.021,95.278,96.536,97.793,99.05,100.307,101.564,102.821,104.077,105.333,106.59,107.845,109.101,110.356,111.612,112.867,114.121,115.373,116.623,117.873,119.121,120.369,121.617,122.864,124.11,125.356,126.601,127.846,129.09,130.333,131.577,132.819,134.06,135.302,136.542,137.782,139.021,140.26,141.498,142.736,143.974,145.211,146.448,147.685,148.921,150.155,151.387,152.617,153.845,155.071,156.293,157.515,158.734,159.953,161.17,162.387,163.603,164.817,166.031,167.244,168.456,169.668,170.877,172.086,173.293,174.5,175.706,176.912,178.116,179.32,180.523,181.726,182.928,184.129,185.329,186.528,187.727,188.926,190.123,191.32,192.517,193.714,194.911,196.105,197.295,198.478,199.658,200.837,202.015,203.192,204.367,205.542,206.716,207.889,209.061,210.232,211.403,212.572,213.741,214.908,216.075,217.24,218.404,219.568,220.73,221.891,223.049,224.205,225.36,226.515,227.668,228.821,229.973,231.124,232.274,233.424,234.572,235.72,236.867,238.014,239.161,240.307,241.451,242.58,243.709,244.836,245.963,247.089,248.214,249.337,250.46,251.583,252.705
2,0.394,0.557,0.879,1.241,1.613,1.987,2.361,2.732,3.1,3.465,3.826,4.184,4.539,4.892,5.241,5.59,5.937,6.283,6.628,6.973,7.317,7.661,8.004,8.347,8.69,9.033,9.889,10.744,11.596,12.445,13.292,14.135,14.974,15.81,16.642,17.47,18.293,19.112,19.926,20.735,21.538,22.333,23.118,23.892,24.655,25.414,26.155,26.881,27.596,28.305,29.006,29.699,30.391,31.076,31.755,32.429,33.767,35.093,36.409,37.717,39.021,40.321,41.618,42.912,44.205,45.495,46.783,48.07,49.355,50.64,51.923,53.203,54.482,55.76,57.036,58.312,59.587,60.861,62.134,63.406,64.677,65.947,67.216,68.483,69.751,71.017,72.283,73.549,74.813,76.077,77.34,78.602,79.864,81.125,82.386,83.647,84.908,86.168,87.427,88.686,89.945,91.203,92.46,93.718,94.975,96.233,97.49,98.747,100.004,101.261,102.517,103.774,105.03,106.286,107.542,108.798,110.053,111.308,112.563,113.818,115.069,116.319,117.568,118.816,120.064,121.312,122.559,123.805,125.051,126.296,127.541,128.784,130.028,131.271,132.513,133.755,134.996,136.236,137.476,138.715,139.954,141.192,142.43,143.667,144.905,146.142,147.379,148.614,149.848,151.079,152.309,153.537,154.763,155.984,157.205,158.425,159.643,160.861,162.077,163.293,164.507,165.721,166.934,168.146,169.357,170.566,171.775,172.982,174.189,175.395,176.6,177.805,179.009,180.211,181.414,182.616,183.816,185.017,186.216,187.415,188.613,189.81,191.008,192.205,193.401,194.598,195.791,196.98,198.162,199.343,200.521,201.699,202.876,204.051,205.226,206.399,207.572,208.744,209.915,211.086,212.255,213.424,214.591,215.757,216.923,218.087,219.25,220.412,221.572,222.73,223.886,225.041,226.196,227.349,228.502,229.653,230.804,231.954,233.104,234.252,235.4,236.547,237.694,238.841,239.987,241.128,242.258,243.386,244.513,245.64,246.765,247.89,249.014,250.137,251.259,252.381
4,0.755,0.844,1.066,1.357,1.68,2.017,2.363,2.711,3.06,3.41,3.759,4.107,4.454,4.8,5.145,5.49,5.835,6.179,6.522,6.865,7.208,7.551,7.894,8.237,8.579,8.921,9.775,10.627,11.475,12.322,13.164,14.004,14.84,15.672,16.5,17.323,18.143,18.957,19.767,20.572,21.368,22.157,22.934,23.7,24.463,25.21,25.942,26.662,27.374,28.079,28.776,29.467,30.157,30.839,31.516,32.188,33.524,34.847,36.161,37.468,38.771,40.07,41.366,42.661,43.952,45.242,46.53,47.817,49.102,50.386,51.669,52.948,54.227,55.505,56.781,58.056,59.331,60.605,61.878,63.15,64.421,65.691,66.959,68.226,69.494,70.76,72.026,73.291,74.556,75.819,77.082,78.344,79.605,80.867,82.128,83.389,84.649,85.909,87.169,88.428,89.686,90.944,92.201,93.459,94.716,95.974,97.231,98.488,99.745,101.002,102.258,103.515,104.771,106.027,107.283,108.538,109.794,111.049,112.304,113.558,114.809,116.058,117.308,118.556,119.804,121.051,122.298,123.544,124.79,126.035,127.279,128.523,129.766,131.009,132.251,133.493,134.734,135.974,137.214,138.453,139.691,140.93,142.167,143.405,144.642,145.879,147.116,148.351,149.584,150.815,152.045,153.272,154.497,155.719,156.939,158.159,159.377,160.594,161.811,163.026,164.24,165.454,166.666,167.878,169.089,170.298,171.506,172.714,173.92,175.126,176.332,177.536,178.74,179.942,181.145,182.346,183.547,184.747,185.946,187.145,188.343,189.54,190.738,191.935,193.131,194.327,195.52,196.708,197.889,199.069,200.248,201.426,202.602,203.777,204.952,206.125,207.298,208.47,209.641,210.811,211.98,213.148,214.316,215.482,216.647,217.811,218.974,220.135,221.296,222.453,223.609,224.764,225.918,227.072,228.224,229.375,230.526,231.676,232.825,233.973,235.121,236.268,237.416,238.562,239.708,240.847,241.976,243.104,244.231,245.358,246.483,247.608,248.731,249.854,250.977,252.099
6,1.099,1.159,1.32,1.552,1.826,2.127,2.442,2.767,3.098,3.433,3.77,4.109,4.448,4.789,5.129,5.47,5.811,6.152,6.493,6.834,7.174,7.515,7.855,8.195,8.535,8.875,9.722,10.568,11.411,12.251,13.087,13.921,14.751,15.577,16.4,17.218,18.031,18.841,19.645,20.442,21.231,22.01,22.778,23.541,24.294,25.031,25.755,26.469,27.177,27.878,28.571,29.263,29.948,30.627,31.301,31.972,33.304,34.626,35.938,37.244,38.545,39.844,41.14,42.433,43.725,45.014,46.302,47.588,48.873,50.156,51.439,52.718,53.996,55.274,56.55,57.825,59.1,60.373,61.646,62.918,64.189,65.458,66.726,67.993,69.26,70.527,71.793,73.058,74.322,75.586,76.848,78.11,79.371,80.633,81.894,83.154,84.415,85.675,86.934,88.193,89.451,90.709,91.966,93.224,94.481,95.739,96.996,98.253,99.51,100.766,102.023,103.279,104.536,105.792,107.047,108.303,109.558,110.813,112.068,113.322,114.572,115.822,117.071,118.319,119.567,120.814,122.061,123.307,124.552,125.797,127.041,128.285,129.528,130.771,132.013,133.254,134.495,135.735,136.975,138.214,139.452,140.69,141.928,143.165,144.403,145.64,146.876,148.111,149.344,150.575,151.803,153.03,154.254,155.476,156.696,157.915,159.134,160.351,161.567,162.782,163.996,165.21,166.422,167.633,168.844,170.053,171.261,172.468,173.675,174.881,176.086,177.29,178.493,179.696,180.899,182.1,183.3,184.5,185.699,186.898,188.096,189.293,190.49,191.687,192.884,194.079,195.271,196.458,197.639,198.818,199.997,201.174,202.351,203.526,204.7,205.873,207.046,208.217,209.388,210.558,211.727,212.895,214.062,215.228,216.393,217.557,218.72,219.881,221.041,222.198,223.353,224.509,225.663,226.816,227.968,229.12,230.27,231.42,232.569,233.717,234.864,236.012,237.159,238.305,239.451,240.587,241.716,242.844,243.971,245.097,246.223,247.347,248.47,249.593,250.716,251.837
8,1.438,1.482,1.607,1.796,2.03,2.295,2.582,2.883,3.195,3.513,3.836,4.163,4.493,4.824,5.157,5.491,5.826,6.162,6.497,6.833,7.17,7.506,7.842,8.178,8.514,8.85,9.689,10.527,11.362,12.195,13.025,13.852,14.675,15.495,16.311,17.123,17.931,18.734,19.53,20.319,21.099,21.868,22.631,23.387,24.129,24.857,25.574,26.284,26.988,27.684,28.376,29.065,29.746,30.422,31.095,31.764,33.093,34.412,35.722,37.027,38.328,39.626,40.921,42.214,43.505,44.794,46.081,47.367,48.652,49.935,51.217,52.496,53.774,55.051,56.327,57.602,58.876,60.15,61.423,62.694,63.964,65.233,66.501,67.769,69.036,70.302,71.568,72.832,74.097,75.36,76.622,77.884,79.145,80.406,81.667,82.928,84.188,85.448,86.707,87.966,89.224,90.482,91.739,92.997,94.254,95.511,96.769,98.026,99.283,100.539,101.796,103.052,104.308,105.564,106.82,108.075,109.331,110.586,111.84,113.093,114.344,115.593,116.841,118.09,119.337,120.584,121.831,123.077,124.322,125.567,126.811,128.055,129.298,130.541,131.782,133.024,134.264,135.504,136.744,137.983,139.221,140.459,141.697,142.934,144.171,145.408,146.644,147.879,149.111,150.342,151.57,152.796,154.02,155.241,156.461,157.68,158.898,160.115,161.331,162.546,163.76,164.973,166.185,167.397,168.607,169.816,171.023,172.23,173.437,174.643,175.847,177.052,178.255,179.457,180.66,181.861,183.061,184.261,185.46,186.658,187.856,189.053,190.25,191.447,192.644,193.839,195.03,196.215,197.396,198.575,199.754,200.931,202.107,203.281,204.456,205.629,206.801,207.973,209.143,210.313,211.482,212.65,213.817,214.982,216.147,217.311,218.473,219.634,220.794,221.95,223.106,224.261,225.415,226.567,227.719,228.871,230.021,231.171,232.32,233.468,234.615,235.762,236.909,238.055,239.201,240.334,241.463,242.591,243.718,244.844,245.969,247.093,248.217,249.339,250.462,251.584
10,1.773,1.808,1.909,2.066,2.267,2.502,2.761,3.038,3.329,3.63,3.937,4.251,4.569,4.89,5.213,5.539,5.866,6.194,6.524,6.854,7.184,7.515,7.847,8.178,8.51,8.842,9.671,10.499,11.326,12.15,12.973,13.792,14.609,15.422,16.232,17.037,17.838,18.632,19.42,20.199,20.969,21.732,22.49,23.235,23.966,24.687,25.399,26.105,26.804,27.496,28.188,28.872,29.55,30.225,30.895,31.563,32.889,34.205,35.514,36.818,38.118,39.415,40.71,42.002,43.293,44.581,45.868,47.154,48.438,49.721,51.002,52.281,53.559,54.836,56.111,57.386,58.66,59.934,61.206,62.477,63.747,65.016,66.284,67.551,68.818,70.084,71.349,72.614,73.878,75.141,76.403,77.664,78.926,80.187,81.448,82.709,83.969,85.228,86.488,87.746,89.004,90.262,91.519,92.777,94.034,95.291,96.548,97.805,99.062,100.319,101.576,102.832,104.088,105.344,106.599,107.855,109.11,110.365,111.62,112.872,114.122,115.371,116.619,117.867,119.115,120.362,121.608,122.854,124.1,125.344,126.588,127.832,129.075,130.317,131.559,132.8,134.04,135.28,136.52,137.758,138.997,140.234,141.472,142.709,143.947,145.183,146.419,147.653,148.885,150.115,151.343,152.569,153.792,155.013,156.233,157.451,158.669,159.886,161.101,162.316,163.53,164.743,165.955,167.166,168.376,169.585,170.792,171.999,173.205,174.411,175.616,176.82,178.023,179.225,180.427,181.628,182.829,184.028,185.227,186.425,187.623,188.82,190.017,191.214,192.41,193.605,194.795,195.979,197.159,198.338,199.516,200.693,201.869,203.044,204.218,205.391,206.563,207.734,208.905,210.074,211.243,212.411,213.577,214.743,215.907,217.071,218.233,219.394,220.552,221.709,222.864,224.019,225.173,226.325,227.477,228.629,229.779,230.928,232.077,233.225,234.372,235.519,236.666,237.812,238.958,240.088,241.217,242.344,243.471,244.597,245.722,246.846,247.969,249.092,250.214,251.336
12,2.103,2.132,2.216,2.35,2.525,2.733,2.967,3.222,3.492,3.774,4.066,4.365,4.67,4.979,5.293,5.609,5.927,6.247,6.569,6.893,7.217,7.542,7.868,8.194,8.521,8.847,9.665,10.483,11.301,12.117,12.931,13.743,14.552,15.358,16.16,16.957,17.749,18.535,19.313,20.082,20.845,21.604,22.35,23.084,23.807,24.521,25.23,25.931,26.626,27.317,28.005,28.685,29.361,30.033,30.702,31.368,32.692,34.005,35.313,36.615,37.914,39.211,40.505,41.797,43.087,44.375,45.662,46.947,48.231,49.514,50.794,52.072,53.35,54.627,55.902,57.177,58.451,59.724,60.996,62.267,63.537,64.805,66.073,67.34,68.607,69.873,71.138,72.402,73.666,74.929,76.191,77.452,78.714,79.975,81.236,82.496,83.756,85.016,86.275,87.533,88.791,90.049,91.306,92.563,93.821,95.078,96.335,97.592,98.849,100.106,101.362,102.618,103.874,105.13,106.386,107.641,108.896,110.151,111.406,112.657,113.906,115.156,116.404,117.652,118.899,120.146,121.393,122.638,123.883,125.128,126.372,127.615,128.858,130.1,131.342,132.583,133.823,135.063,136.302,137.541,138.779,140.017,141.254,142.492,143.729,144.965,146.2,147.434,148.666,149.895,151.123,152.349,153.57,154.791,156.011,157.229,158.447,159.663,160.879,162.093,163.307,164.519,165.731,166.943,168.152,169.36,170.568,171.774,172.981,174.186,175.391,176.594,177.797,179.0,180.202,181.402,182.603,183.802,185.001,186.199,187.396,188.593,189.79,190.987,192.183,193.377,194.566,195.749,196.929,198.108,199.286,200.462,201.638,202.812,203.986,205.159,206.331,207.502,208.672,209.842,211.01,212.178,213.344,214.509,215.674,216.837,217.999,219.16,220.317,221.474,222.629,223.783,224.937,226.089,227.241,228.392,229.542,230.692,231.84,232.988,234.135,235.283,236.429,237.575,238.718,239.848,240.976,242.103,243.23,244.356,245.481,246.604,247.727,248.85,249.972,251.094
14,2.429,2.453,2.525,2.641,2.795,2.981,3.193,3.426,3.677,3.942,4.217,4.501,4.793,5.09,5.392,5.698,6.007,6.319,6.633,6.949,7.266,7.584,7.904,8.224,8.545,8.867,9.673,10.48,11.287,12.094,12.899,13.703,14.503,15.3,16.093,16.881,17.663,18.439,19.207,19.97,20.728,21.476,22.211,22.936,23.652,24.362,25.066,25.763,26.455,27.145,27.827,28.505,29.179,29.849,30.516,31.18,32.501,33.812,35.118,36.42,37.718,39.014,40.308,41.599,42.889,44.176,45.462,46.747,48.031,49.313,50.593,51.871,53.149,54.425,55.7,56.975,58.248,59.521,60.793,62.064,63.333,64.601,65.869,67.136,68.402,69.668,70.933,72.198,73.461,74.723,75.985,77.247,78.508,79.769,81.03,82.29,83.55,84.81,86.069,87.327,88.585,89.842,91.1,92.357,93.614,94.872,96.129,97.386,98.642,99.899,101.155,102.412,103.668,104.923,106.179,107.434,108.689,109.944,111.198,112.449,113.698,114.947,116.195,117.443,118.69,119.937,121.183,122.429,123.674,124.918,126.162,127.405,128.648,129.89,131.131,132.372,133.612,134.852,136.091,137.33,138.568,139.805,141.043,142.28,143.517,144.754,145.989,147.222,148.453,149.682,150.909,152.134,153.355,154.576,155.795,157.013,158.231,159.447,160.662,161.877,163.09,164.302,165.514,166.725,167.934,169.142,170.35,171.556,172.762,173.967,175.172,176.375,177.578,178.781,179.982,181.183,182.383,183.582,184.78,185.979,187.176,188.373,189.57,190.767,191.962,193.155,194.344,195.525,196.705,197.883,199.061,200.237,201.413,202.587,203.76,204.933,206.105,207.276,208.446,209.615,210.784,211.951,213.117,214.282,215.446,216.609,217.771,218.931,220.088,221.244,222.4,223.554,224.707,225.86,227.011,228.162,229.312,230.461,231.609,232.757,233.905,235.052,236.198,237.344,238.484,239.613,240.741,241.869,242.995,244.121,245.245,246.369,247.492,248.614,249.737,250.858
16,2.75,2.771,2.834,2.936,3.073,3.24,3.432,3.647,3.88,4.127,4.387,4.656,4.934,5.219,5.509,5.805,6.104,6.407,6.712,7.02,7.33,7.641,7.954,8.268,8.583,8.899,9.692,10.487,11.283,12.079,12.874,13.667,14.458,15.246,16.029,16.807,17.58,18.345,19.108,19.865,20.612,21.348,22.074,22.792,23.503,24.209,24.908,25.6,26.292,26.977,27.656,28.331,29.002,29.671,30.336,30.999,32.316,33.626,34.931,36.232,37.529,38.824,40.117,41.408,42.697,43.984,45.27,46.555,47.838,49.12,50.399,51.677,52.954,54.23,55.505,56.779,58.053,59.326,60.597,61.867,63.136,64.404,65.672,66.939,68.205,69.471,70.736,72.0,73.263,74.525,75.787,77.048,78.31,79.571,80.831,82.091,83.351,84.611,85.869,87.128,88.385,89.643,90.9,92.157,93.415,94.672,95.929,97.186,98.443,99.699,100.956,102.212,103.468,104.723,105.979,107.234,108.489,109.744,110.997,112.247,113.497,114.745,115.993,117.241,118.488,119.735,120.981,122.226,123.471,124.715,125.959,127.202,128.445,129.686,130.928,132.169,133.408,134.648,135.887,137.126,138.363,139.601,140.838,142.076,143.313,144.549,145.783,147.016,148.247,149.475,150.702,151.925,153.147,154.367,155.586,156.804,158.021,159.237,160.452,161.667,162.88,164.092,165.303,166.514,167.723,168.931,170.138,171.344,172.55,173.755,174.959,176.163,177.365,178.568,179.769,180.969,182.169,183.368,184.567,185.765,186.962,188.159,189.356,190.553,191.748,192.94,194.126,195.307,196.487,197.665,198.843,200.019,201.194,202.368,203.541,204.714,205.885,207.056,208.226,209.395,210.563,211.73,212.896,214.061,215.225,216.388,217.549,218.709,219.866,221.021,222.177,223.331,224.484,225.636,226.788,227.938,229.088,230.237,231.385,232.532,233.68,234.827,235.973,237.119,238.256,239.385,240.513,241.64,242.766,243.892,245.016,246.14,247.262,248.385,249.507,250.628
